bacteria,gram,phenolics,tannins,coumarins,carotenes,flavonoids,triterpenoids,steroids,noise,alkaloids,anthraquinones,saponins,isolated compounds,terpenoids,lignans,sesquiterpenes,monoterpenes,phenylpropanoids,diterpenes,xanthones,iridoids,phenylethanoids,piperamides,stilbenoids,alkamides,cyanogenic glycosides
Enterobacter cloacae,negative,9,4,1,0,9,2,2,7,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0
Staphylococcus hominis,positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurella multocida,positive,2,0,1,1,2,1,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium avium,positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus suis,positive,2,0,1,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter lwoffii,negative,2,1,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter haemolyticus,negative,2,1,0,0,1,0,1,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillus thuringiensis,positive,4,0,2,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Klebsiella aerogenes,negative,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shewanella putrefaciens,negative,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morganella morganii,negative,3,1,0,1,1,0,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella catarrhalis,negative,2,0,0,0,3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cronobacter sakazakii,negative,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Streptococcus mitis,positive,4,0,1,0,4,0,0,4,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Stenotrophomonas maltophilia,negative,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haemophilus influenzae,negative,2,2,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mycobacterium tuberculosis,positive,1,0,1,0,4,1,0,6,2,0,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0
Burkholderia cepacia,negative,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corynebacterium diphtheriae,positive,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pantoea agglomerans,negative,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces israelii,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Fusobacterium nucleatum,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Corynebacterium minutissimum,positive,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staphylococcus haemolyticus,positive,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillus acidophilus,positive,3,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lactococcus lactis,positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus salivarius,positive,3,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus oralis,positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwardsiella tarda,negative,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus iniae,positive,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Streptococcus sanguinis,positive,1,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bordetella bronchiseptica,negative,3,0,0,0,5,0,0,1,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
